"Choice","RT"
0.7715,1.6375
0.8657,0.7345
1.0694,0.772
6.1741,0.7765
1.5685,1.198
0.5456,1.78
5.9902,0.9805
1.0455,1.123
0.984,1.366
1.6051,0.9085
0.646,1.2745
0.8718,1.2205
1.6093,1.231
5.8507,1.1815
0.9412,1.8085
0.6051,0.937
0.44,1.324
0.2667,1.102
1.2717,1.3945
0.9253,2.2375
0.7338,1.4995
0.4775,1.996
0.275,0.7825
0.2209,0.6895
5.9373,1.3105
1.0575,1.5145
0.8578,0.6445
0.7116,1.4695
0.7605,1.0015
0.8536,1.1875
0.7583,1.2355
0.8737,1.417
5.9144,1.195
0.7551,2.1205
0.6097,0.7615
1.379,0.922
0.5594,0.9205
0.6275,0.76
6.1383,1.2445
1.3496,1.168
6.1716,0.673
0.1938,1.3525
0.6279,1.711
0.0724,1.183
0.0777,0.772
0.7044,1.309
0.695,1.405
0.0973,1.336
0.1949,1.1635
1.2776,0.7015
1.1709,1.7005
0.3297,0.9565
1.0747,1.4755
1.0696,1.123
1.5338,1.351
0.9193,1.1575
0.6684,1.459
1.0752,0.787
1.3676,1.4035
1.2742,1.3165
0.2788,1.723
0.9533,1.1965
1.5747,2.1235
0.7764,2.233
0.8384,1.147
1.1486,1.69
0.6523,0.523
0.7647,0.5485
0.6971,0.928
0.6017,2.548
0.2198,0.814
1.3331,1.2895
0.0665,0.85
6.1866,0.7555
6.2528,1.0885
0.4533,0.661
1.1288,1.324
0.3406,1.096
0.4906,2.638
0.9099,2.1955
6.255,1.6765
1.213,0.73
0.7281,1.42
0.7309,1.054
0.7907,0.865
0.3884,1.3975
0.2482,1.225
1.774,1.084
0.7355,1.924
1.3009,2.3575
0.4969,0.82
0.668,0.4585
1.366,0.862
0.6661,0.802
0.8089,1.9855
1.0171,1.213
0.4792,0.61
0.3631,0.976
1.0611,4.03
0.084,1.531
0.472,0.7255
1.2277,1.36
1.367,0.916
0.0281,0.7675
1.357,0.9745
0.9057,2.3515
0.9682,0.844
1.0513,1.4035
0.5143,1.531
1.399,1.0615
0.5821,1.3285
0.3234,1.8565
0.5076,0.7165
6.0198,0.9385
1.0921,0.9295
5.8972,1.6255
0.8116,0.8305
0.2904,1.4215
0.3897,0.9055
0.0496,1.774
0.2803,3.0205
0.9002,1.159
0.3941,1.216
0.1176,0.5635
0.8283,1.1545
0.7376,0.559
5.9672,2.08
1.5381,1.5925
0.6964,0.976
1.0075,1.687
1.1695,0.787
1.014,1.3615
1.2971,1.1605
1.0076,0.721
0.2214,1.1905
5.852,1.1335
1.0788,1.096
0.0362,0.91
0.8481,1.138
0.5518,1.24
1.0676,0.7525
0.0107,1.924
0.5232,1.195
1.4291,1.4335
0.9071,1.171
6.0376,1.201
0.7783,0.922
0.3306,1.1905
0.3803,1.84
0.2612,1.078
0.729,1.354
0.6806,1.741
0.9684,0.9055
0.282,1.1575
1.5899,0.8065
0.9716,1.228
0.3704,0.694
0.9138,2.605
0.5416,0.7435
6.1565,0.8905
1.1623,1.2385
0.8284,1.63
0.6419,1.102
0.8433,0.832
1.2563,1.1425
1.233,1.1545
6.206,0.781
0.8373,1.225
0.7294,1.216
0.61,2.353
1.1777,0.967
0.692,0.8305
1.1502,0.7165
0.2952,1.12
0.6756,0.784
1.2111,0.5215
0.1229,0.85
0.1527,0.9025
0.7122,0.9475
0.3339,2.107
0.4659,1.2655
0.9745,1.3105
6.2758,1.186
1.2207,0.6745
0.2874,0.6055
0.7323,0.886
0.1272,0.913
1.0058,1.201
0.6115,1.729
0.3237,1.1575
0.9695,0.7195
0.1606,1.006
0.9465,1.9285
0.0022,1.306
0.8082,1.6075
1.1924,0.7075
0.7323,1.195
1.5755,2.023
1.2571,0.8155
0.7063,0.8485
